endpoint,table,DELETE,INSERT,SELECT,UPDATE,total
funciones/funciones.php,tbl_alumno,1,4,19,8,32
funciones/funciones.php,tbl_circular,1,4,10,0,15
funciones/funciones.php,tbl_grupo_asignatura,1,1,10,2,14
funciones/funciones.php,tbl_concepto_pago_alumno,1,3,8,2,14
funciones/funciones.php,tbl_concepto_pago,1,1,6,1,9
funciones/funciones.php,tbl_grupo,1,1,5,1,8
funciones/funciones.php,tbl_usuario,1,1,4,2,8
funciones/funciones.php,tbl_logro,0,2,4,1,7
funciones/funciones.php,tbl_desempenio_perdido,0,1,4,1,6
funciones/funciones.php,tbl_plan_gestor,0,1,4,1,6
funciones/funciones.php,tbl_comunicado_alumno,1,1,4,0,6
funciones/funciones.php,tbl_noticia,1,1,4,0,6
funciones/funciones.php,tbl_contenido_enlace,1,1,3,1,6
funciones/funciones.php,tbl_alumno_logro_caso_especial,2,1,3,0,6
funciones/funciones.php,tbl_calificacion_asignatura,0,2,2,2,6
funciones/funciones.php,tbl_calificacion_logro,0,2,2,2,6
funciones/funciones.php,tbl_acudiente,0,1,3,1,5
funciones/funciones.php,tbl_gasto,1,1,3,0,5
funciones/funciones.php,tbl_asignatura,1,1,2,1,5
funciones/funciones.php,tbl_dato_seccion_plan_gestor,1,1,2,1,5
funciones/funciones.php,tbl_enlace_principal,1,1,2,1,5
funciones/funciones.php,tbl_profesor,1,1,2,1,5
funciones/funciones.php,tbl_sede,1,1,2,1,5
funciones/funciones.php,tbl_periodo_academico,0,0,4,0,4
funciones/funciones.php,tbl_calificacion_asignatura_final,0,1,2,1,4
funciones/funciones.php,tbl_contacto,0,1,2,1,4
funciones/funciones.php,tbl_pago_otros,0,1,2,1,4
funciones/funciones.php,tbl_tipo_comunicado,0,1,2,1,4
funciones/funciones.php,tbl_alumno_acudiente,1,1,2,0,4
funciones/funciones.php,tbl_comunicado,1,1,2,0,4
funciones/funciones.php,tbl_factura,0,1,1,2,4
funciones/funciones.php,tbl_puntaje_alumno,0,1,1,2,4
PHPExcel.php,the,0,0,0,4,4
mpdf.php,values,0,0,0,4,4
funciones/funciones.php,tbl_grado,0,0,3,0,3
funciones/funciones.php,tbl_promocion_alumno,0,1,1,1,3
funciones/funciones.php,tbl_alumno_recomendacion_caso_especial,1,1,1,0,3
funciones/funciones.php,tbl_logro_caso_especial,1,1,1,0,3
funciones/funciones.php,tbl_usuario_modulo,1,1,1,0,3
mpdf.php,PageNumSubstitutions,0,0,0,3,3
funciones/funciones.php,tbl_proyecto,0,0,2,0,2
funciones/funciones.php,tbl_comunicado_admin,0,1,1,0,2
funciones/funciones.php,tbl_recomendacion,0,1,1,0,2
funciones/funciones.php,tbl_recomendacion_alumno,0,1,1,0,2
funciones/funciones.php,tbl_,0,0,1,1,2
funciones/funciones.php,tbl_consecutivo,0,0,1,1,2
funciones/funciones.php,tbl_recomendacion_caso_especial,1,1,0,0,2
mpdf.php,Annotations,0,0,0,2,2
mpdf.php,Bookmarks,0,0,0,2,2
mpdf.php,Col,0,0,0,2,2
mpdf.php,Form,0,0,0,2,2
mpdf.php,Internal,0,0,0,2,2
mpdf.php,Links,0,0,0,2,2
mpdf.php,Page,0,0,0,2,2
mpdf.php,floatmargins,0,0,0,2,2
mpdf.php,maximum,0,0,0,2,2
mpdf.php,objattr,0,0,0,2,2
funciones/funciones.php,tbl_area,0,0,1,0,1
funciones/funciones.php,tbl_enlace,0,0,1,0,1
funciones/funciones.php,tbl_estado_enlace,0,0,1,0,1
funciones/funciones.php,tbl_modulo,0,0,1,0,1
funciones/funciones.php,tbl_no_recupera,0,0,1,0,1
funciones/funciones.php,tbl_seccion_plan_gestor,0,0,1,0,1
funciones/funciones.php,tbl_tipo_contenido_enlace,0,0,1,0,1
funciones/funciones.php,tbl_elemento_alumno_actividad_aula,0,1,0,0,1
funciones/funciones.php,tbl_monitoreo_user,0,1,0,0,1
funciones/funciones.php,tbl_respuestas_saber,0,1,0,0,1
PHPExcel.php,cellXf,0,0,0,1,1
PHPExcel.php,xfIndex,0,0,0,1,1
mpdf.php,POSITION,0,0,0,1,1
mpdf.php,all,0,0,0,1,1
mpdf.php,nestedpos,0,0,0,1,1
mpdf.php,number,0,0,0,1,1
mpdf.php,other,0,0,0,1,1
mpdf.php,right,0,0,0,1,1
mpdf.php,startxref,0,0,0,1,1
mpdf.php,the,0,0,0,1,1
mpdf.php,this,0,0,0,1,1
mpdf.php,xref,0,0,0,1,1
mpdf.php,y,0,0,0,1,1
mpdf.php,y0,0,0,0,1,1
