module,files_touched,top_endpoints,top_tables
gimnasiocervantes.com,454,"../funciones/conexion.php, ../funciones/funciones.php, ../mpdf.php, ./funciones/conexion.php, ./funciones/funciones.php","tbl_alumno, tbl_grupo_asignatura, tbl_concepto_pago_alumno, tbl_concepto_pago, tbl_circular"
(root),61,,
funciones,13,"../funciones/conexion.php, ../funciones/funciones.php, ./funciones/conexion.php, ./funciones/funciones.php, ../funciones/funciones_aula.php",
administrativo,2,"../administrativo/filtro_alumnos_grupo.php, ../administrativo/form_comunicado.php",
Classes,1,"../Classes/PHPExcel/IOFactory.php, ../PHPExcel/Classes/PHPExcel.php",
MPDF56,1,"./MPDF56/mpdf.php, ../pdf/MPDF56/mpdf.php",
aplicacion,1,./aplicacion/funciones/funciones_galeria.php,
assets,1,assets/posteddata.php,
aula,1,../aula/botones_retorno.php,
mail,1,././mail/contact_me.php,
